id,Author,Text,User Location,Tweet Country,created_at
1356279743725924352,craigDLyons,RT @Doda127: It's sad Captain Tom has covid-19 but he and his family flew to Barbados for Christmas when everyone was told to stay at home.…,,None,2021-02-01 16:34:24
1356279744145223680,AndrewKalloch,"RT @josh_meltzer: ""Here’s the key fact: All five vaccines with public results have eliminated Covid-19 deaths. They have also drastically r…",The State of Oregon,None,2021-02-01 16:34:24
1356279744329760773,lovebeloved_vn,RT @inquirerdotnet: WHO country representative Dr. Rabindra Abeyasinghe stressed that the public should still adhere to health protocols ag…,Vietnam,None,2021-02-01 16:34:24
1356279744648642562,malinablue,"RT @Mar_a_Hell_No: The Biden administration has now confirmed that
20 million doses of the Covid-19 vaccine are ""missing.""

Several weeks a…","Maryland, USA",None,2021-02-01 16:34:24
1356279744891912192,patstagepage,"RT @BrianMCarroll: “Quebec and Ontario together account for about 80 per cent of Canada’s COVID-19 fatalities,” #COVID19Ontario #covid19Qc…","Montreal, Quebec",None,2021-02-01 16:34:24
1356279747957833744,iChinadian,Several Canadian corporations band together for COVID-19 rapid testing project | CBC News https://t.co/MMjhbz4GEc… https://t.co/m3jChZmQTm,"Vancouver 溫哥華, Canada 加拿大 🇨🇦",None,2021-02-01 16:34:25
1356279748163481603,seconperson,"RT @GovParsonMO: In the past three days we have administered more than 40,000 vaccine doses. Thanks in part to our successful mass vaccinat…","Missouri, United States",None,2021-02-01 16:34:25
1356279748377325574,MaskCatchers,RT @COVID19Tracking: More Black Americans have died of COVID-19 than there are names on the Vietnam Memorial. More Black or Latinx people h…,"Florida, USA",None,2021-02-01 16:34:25
1356279748863864836,AmyeTeel,"RT @jamesperloff: Healthy, 39-year-old nurse's aide dies ‘within 48 hours’ of receiving mandated COVID-19 shot. https://t.co/DSdTfJBlx1",,None,2021-02-01 16:34:25
1356279751518904325,good_karma_2412,"RT @Mar_a_Hell_No: The Biden administration has now confirmed that
20 million doses of the Covid-19 vaccine are ""missing.""

Several weeks a…",,None,2021-02-01 16:34:25
